district,dong_code,dong_name,floor,contract_date,rent_type,area_m2,deposit,rent,built_year,building_type,year,interest_rate,cpi,contract_year,building_age
성북구,13500,종암동,4.0,2022-01-06,월세,26.28,2271,6,1999.0,아파트,2022,1.0,104.85,2022,23.0
성북구,11400,삼선동4가,1.0,2022-01-06,월세,44.43,4000,48,1994.0,단독다가구,2022,1.0,104.85,2022,28.0
성북구,11100,삼선동1가,1.0,2022-01-06,월세,25.41,1000,70,2022.0,단독다가구,2022,1.0,104.85,2022,0.0
성북구,13900,석관동,1.0,2022-01-06,월세,40.8,2000,55,1992.0,단독다가구,2022,1.0,104.85,2022,30.0
성북구,13800,장위동,17.0,2022-01-06,월세,59.1,8000,140,2020.0,아파트,2022,1.0,104.85,2022,2.0
성북구,13400,길음동,1.0,2022-01-06,월세,84.64,10000,170,2005.0,아파트,2022,1.0,104.85,2022,17.0
성북구,10300,돈암동,1.0,2022-01-06,월세,84.77,30000,90,2016.0,아파트,2022,1.0,104.85,2022,6.0
성북구,11500,삼선동5가,12.0,2022-01-06,월세,19.99,5000,51,2014.0,연립다세대,2022,1.0,104.85,2022,8.0
성북구,13300,정릉동,5.0,2022-01-06,월세,59.59,10000,60,1999.0,아파트,2022,1.0,104.85,2022,23.0
성북구,13800,장위동,7.0,2022-01-06,월세,14.71,1000,50,2019.0,아파트,2022,1.0,104.85,2022,3.0
성북구,13300,정릉동,1.0,2022-01-06,월세,58.72,13000,40,1997.0,연립다세대,2022,1.0,104.85,2022,25.0
성북구,13600,하월곡동,5.0,2022-01-06,월세,15.55,1000,45,2013.0,아파트,2022,1.0,104.85,2022,9.0
성북구,11900,동선동4가,15.0,2022-01-06,월세,21.13,4000,53,2011.0,오피스텔,2022,1.0,104.85,2022,11.0
성북구,13400,길음동,11.0,2022-01-06,월세,59.78,30000,90,2022.0,아파트,2022,1.0,104.85,2022,0.0
성북구,13300,정릉동,3.0,2022-01-06,월세,22.93,2000,55,2014.0,연립다세대,2022,1.0,104.85,2022,8.0
성북구,13700,상월곡동,3.0,2022-01-06,월세,40.0,5400,22,2018.0,연립다세대,2022,1.0,104.85,2022,4.0
성북구,12600,보문동4가,1.0,2022-01-07,월세,18.18,2000,50,2018.0,단독다가구,2022,1.0,104.85,2022,4.0
성북구,11400,삼선동4가,1.0,2022-01-07,월세,20.0,3000,50,2009.0,단독다가구,2022,1.0,104.85,2022,13.0
성북구,12200,안암동2가,1.0,2022-01-07,월세,18.0,1000,35,2010.0,단독다가구,2022,1.0,104.85,2022,12.0
성북구,13300,정릉동,1.0,2022-01-07,월세,16.0,1000,45,2017.0,단독다가구,2022,1.0,104.85,2022,5.0
성북구,13300,정릉동,1.0,2022-01-07,월세,19.18,1000,45,2018.0,단독다가구,2022,1.0,104.85,2022,4.0
성북구,13700,상월곡동,1.0,2022-01-07,월세,40.0,2000,60,1969.0,단독다가구,2022,1.0,104.85,2022,53.0
성북구,11700,동선동2가,1.0,2022-01-07,월세,16.8,1000,35,2011.0,단독다가구,2022,1.0,104.85,2022,11.0
성북구,11600,동선동1가,1.0,2022-01-07,월세,18.0,4000,40,2017.0,단독다가구,2022,1.0,104.85,2022,5.0
성북구,13700,상월곡동,3.0,2022-01-07,월세,43.04,1500,100,2015.0,연립다세대,2022,1.0,104.85,2022,7.0
성북구,13400,길음동,17.0,2022-01-07,월세,59.9,4000,180,2019.0,아파트,2022,1.0,104.85,2022,3.0
성북구,13500,종암동,9.0,2022-01-07,월세,59.98,10000,120,2011.0,아파트,2022,1.0,104.85,2022,11.0
성북구,13300,정릉동,1.0,2022-01-07,월세,15.0,1000,50,2019.0,단독다가구,2022,1.0,104.85,2022,3.0
성북구,11900,동선동4가,1.0,2022-01-07,월세,15.0,2000,45,2012.0,단독다가구,2022,1.0,104.85,2022,10.0
성북구,13300,정릉동,1.0,2022-01-07,월세,15.0,500,40,2003.0,단독다가구,2022,1.0,104.85,2022,19.0
성북구,13300,정릉동,1.0,2022-01-07,월세,15.0,1000,40,2018.0,단독다가구,2022,1.0,104.85,2022,4.0
성북구,13600,하월곡동,9.0,2022-01-07,월세,114.68,49700,18,2006.0,아파트,2022,1.0,104.85,2022,16.0
성북구,13400,길음동,15.0,2022-01-07,월세,59.69,10000,160,2019.0,아파트,2022,1.0,104.85,2022,3.0
성북구,12500,안암동5가,1.0,2022-01-07,월세,13.0,300,35,2009.0,단독다가구,2022,1.0,104.85,2022,13.0
성북구,13300,정릉동,1.0,2022-01-07,월세,13.0,1000,45,2021.0,단독다가구,2022,1.0,104.85,2022,1.0
성북구,12300,안암동3가,1.0,2022-01-07,월세,45.12,1000,65,1993.0,단독다가구,2022,1.0,104.85,2022,29.0
성북구,11800,동선동3가,1.0,2022-01-07,월세,21.5,1000,50,2011.0,단독다가구,2022,1.0,104.85,2022,11.0
성북구,13700,상월곡동,1.0,2022-01-07,월세,50.0,1000,80,1996.0,단독다가구,2022,1.0,104.85,2022,26.0
성북구,10100,성북동,1.0,2022-01-07,월세,25.42,8000,30,1996.0,단독다가구,2022,1.0,104.85,2022,26.0
성북구,13600,하월곡동,1.0,2022-01-07,월세,24.91,6000,50,1998.0,단독다가구,2022,1.0,104.85,2022,24.0
성북구,13900,석관동,1.0,2022-01-07,월세,55.0,1000,60,1992.0,단독다가구,2022,1.0,104.85,2022,30.0
성북구,13600,하월곡동,1.0,2022-01-07,월세,21.0,500,45,2011.0,단독다가구,2022,1.0,104.85,2022,11.0
성북구,12500,안암동5가,1.0,2022-01-07,월세,23.0,1000,50,1959.0,단독다가구,2022,1.0,104.85,2022,63.0
성북구,13600,하월곡동,1.0,2022-01-07,월세,50.8,3000,70,1993.0,단독다가구,2022,1.0,104.85,2022,29.0
성북구,11100,삼선동1가,1.0,2022-01-07,월세,30.0,1000,50,1992.0,단독다가구,2022,1.0,104.85,2022,30.0
성북구,11800,동선동3가,1.0,2022-01-07,월세,30.0,2000,67,1992.0,단독다가구,2022,1.0,104.85,2022,30.0
성북구,11900,동선동4가,1.0,2022-01-07,월세,57.46,1000,75,1995.0,단독다가구,2022,1.0,104.85,2022,27.0
성북구,13900,석관동,2.0,2022-01-07,월세,25.0,2000,41,2002.0,오피스텔,2022,1.0,104.85,2022,20.0
성북구,13900,석관동,5.0,2022-01-07,월세,25.0,500,40,2002.0,오피스텔,2022,1.0,104.85,2022,20.0
성북구,11800,동선동3가,1.0,2022-01-07,월세,109.66,2500,35,2001.0,단독다가구,2022,1.0,104.85,2022,21.0
성북구,13600,하월곡동,19.0,2022-01-07,월세,84.84,30450,32,2003.0,아파트,2022,1.0,104.85,2022,19.0
성북구,13300,정릉동,14.0,2022-01-07,월세,84.89,5000,150,2005.0,아파트,2022,1.0,104.85,2022,17.0
성북구,13300,정릉동,6.0,2022-01-07,월세,59.26,8500,50,1999.0,아파트,2022,1.0,104.85,2022,23.0
성북구,13300,정릉동,5.0,2022-01-07,월세,18.45,665,10,2013.0,연립다세대,2022,1.0,104.85,2022,9.0
성북구,13600,하월곡동,15.0,2022-01-07,월세,15.62,1000,55,2013.0,아파트,2022,1.0,104.85,2022,9.0
성북구,13400,길음동,6.0,2022-01-07,월세,84.64,12000,95,2005.0,아파트,2022,1.0,104.85,2022,17.0
